ASN,latitude,longitude
3,37.3382,-121.886
4,35.5005,-119.272
8,38.9072,-77.0369
9,40.7128,-74.006
11,42.3592,-71.0931
12,40.7128,-74.006
14,37.8776,-122.263
16,47.6137,-122.338
17,41.5878,-87.4751
18,45.5051,-122.675
20,47.6176,-122.2
25,37.8702,-122.271
26,37.3382,-121.886
27,37.2419,-121.782
29,34.0522,-118.244
31,42.5049,-71.2365
38,40.1131,-88.2266
41,32.7767,-96.797
46,42.3601,-71.0589
47,34.0189,-118.276
49,32.7767,-96.797
52,40.7128,-74.006
55,39.0067,-77.4291
57,44.9745,-93.2252
59,43.0713,-89.4063
70,41.0519,-73.5346
71,42.5182,-71.0865
73,47.6615,-122.312
81,40.31,-74.6558
87,40.7501,-73.9922
88,40.7128,-74.006
91,38.9017,-77.0452
92,39.1745,-76.842
100,29.9613,-94.0131
102,45.1386,-90.3401
103,42.0538,-87.6767
104,41.8781,-87.6298
109,37.323,-122.032
111,37.3382,-121.886
127,37.3387,-121.885
131,32.7947,-96.8089
132,32.7767,-96.797
137,32.9483,-96.7299
140,33.0019,-96.6812
156,33.1032,-96.6705
158,35.8235,-78.8256
159,39.7604,-75.6236
174,21.3069,-157.858
205,41.8781,-87.6298
209,21.3356,-157.918
217,42.1113,-70.7734
224,43.5577,-70.4006
225,44.3628,-69.7806
226,34.2013,-118.171
237,47.115,-88.5452
376,34.0522,-118.244
378,31.5552,-110.35
513,40.7128,-74.006
553,44.79,-67.3967
557,45.0567,-67.1734
558,34.2828,-119.293
559,35.9722,-114.846
577,47.6236,-122.18
600,41.2805,-80.8248
625,41.7002,-86.2379
679,41.7056,-86.2353
680,40.1131,-88.2266
684,21.6797,-158.034
701,21.4221,-158.005
702,70.4244,-148.871
703,37.4419,-122.143
714,21.3069,-157.858
721,31.5552,-110.35
766,33.9278,-84.3594
786,33.6585,-95.5432
794,39.7709,-86.1585
797,40.9202,-74.0666
812,34.0434,-118.422
852,47.6062,-122.332
855,40.7564,-73.984
1103,36.0182,-115.055
1114,34.4696,-97.0515
1133,39.0438,-77.4874
1213,40.7128,-74.006
1215,45.5317,-122.684
1221,39.0438,-77.4874
1224,38.5826,-121.51
1226,38.5739,-121.498
1239,38.9232,-77.2309
1241,47.6062,-122.332
1254,40.7831,-73.9713
1257,41.8842,-87.6388
1267,41.8842,-87.6388
1273,44.9147,-66.9921
1294,38.9806,-84.6187
1299,47.6137,-122.338
1312,37.2037,-80.4143
1313,32.7767,-96.797
1653,35.0129,-90.7871
1659,27.9506,-82.4572
1668,42.6526,-73.7562
1680,30.1116,-97.3651
1698,32.9232,-96.7758
1706,41.8536,-87.6183
1712,38.9072,-77.0369
1715,21.4663,-158.21
1739,40.7592,-73.972
1741,40.7587,-73.9705
1742,42.3545,-71.0542
1749,34.1836,-118.884
1757,30.3243,-81.6553
1767,39.8123,-86.2026
1781,41.818,-87.8769
1784,41.7068,-87.716
1785,39.1734,-77.2777
1790,38.9183,-94.6577
1797,39.1031,-84.512
1819,33.749,-84.388
1820,38.9277,-77.2486
1821,26.187,-80.1746
1823,45.6464,-122.597
1825,38.0051,-122.541
1826,35.3848,-94.3727
1827,27.9506,-82.4572
1828,45.5317,-122.684
1842,37.0832,-88.6026
1853,38.0406,-84.5037
1889,33.749,-84.388
1897,30.4213,-87.2169
1929,38.5709,-90.1901
1968,40.7128,-74.006
1970,27.7127,-97.3241
1996,38.9696,-77.3861
1998,45.8769,-93.2938
1999,33.749,-84.388
2044,47.4942,-122.294
2055,30.4098,-91.1774
2134,38.9072,-77.0369
2145,47.6115,-117.369
2152,39.1289,-123.165
2158,36.154,-95.9928
2165,37.4146,-122.146
2379,47.979,-122.202
2386,37.7749,-122.419
2495,37.7176,-97.2959
2516,37.4419,-122.143
2552,37.3614,-118.4
2559,38.9072,-77.0369
2635,32.7767,-96.797
2637,33.7559,-84.3912
