date,origin,destination,count
2006-09-26,0,701,2
2006-09-26,0,1239,1
2006-09-26,0,3249,1
2006-09-26,0,3269,1
2006-09-26,0,3462,3
2006-09-26,0,3561,48
2006-09-26,0,3671,7
2006-09-26,0,4544,1
2006-09-26,0,4766,1
2006-09-26,0,5413,1
2006-09-26,0,5617,375
2006-09-26,0,6395,1
2006-09-26,0,6432,1
2006-09-26,0,6461,1
2006-09-26,0,6939,1
2006-09-26,0,7132,2
2006-09-26,0,8560,2
2006-09-26,0,9121,1
2006-09-26,0,9584,1
2006-09-26,0,9800,1
2006-09-26,0,10994,1
2006-09-26,0,13462,21
2006-09-26,0,13749,2
2006-09-26,0,13867,1
2006-09-26,0,14361,1
2006-09-26,0,14912,1
2006-09-26,0,15083,1
2006-09-26,0,15802,1
2006-09-26,0,16805,1
2006-09-26,0,19548,3184
2006-09-26,0,19742,1
2006-09-26,0,21571,2
2006-09-26,0,22047,1
2006-09-26,0,22927,1
2006-09-26,0,24679,1
2006-09-26,0,27357,1
2006-09-26,0,27699,1
2006-09-26,0,28573,1
2006-09-26,0,29096,2
2006-09-26,0,29717,1
2006-09-26,0,36420,1
2006-09-26,2,174,1
2006-09-26,2,1312,79
2006-09-26,2,3561,11
2006-09-26,2,4181,1
2006-09-26,2,4323,8
2006-09-26,2,4760,2
2006-09-26,2,4983,12
2006-09-26,2,5617,552
2006-09-26,2,5650,153
2006-09-26,2,5661,3
2006-09-26,2,7018,198
2006-09-26,2,7065,29
2006-09-26,2,7132,1
2006-09-26,2,7377,77
2006-09-26,2,8167,724
2006-09-26,2,8422,5
2006-09-26,2,9584,1
2006-09-26,2,11414,38
2006-09-26,2,14361,1
2006-09-26,2,14425,2
2006-09-26,2,18530,1
2006-09-26,2,19548,3045
2006-09-26,2,19742,1
2006-09-26,2,19918,535
2006-09-26,2,29096,3
2006-09-26,2,29863,4
2006-09-26,2,30099,5
2006-09-26,2,33650,23
2006-09-26,2,33651,59
2006-09-26,3,3462,2
2006-09-26,3,4134,2
2006-09-26,3,4323,1
2006-09-26,3,8151,2
2006-09-26,3,9584,1
2006-09-26,3,9916,205
2006-09-26,3,11279,2
2006-09-26,3,15169,3
2006-09-26,3,17464,19
2006-09-26,3,17716,2
2006-09-26,3,18566,5
2006-09-26,3,19742,1
2006-09-26,3,24679,1
2006-09-26,3,27257,1
2006-09-26,3,29096,3
2006-09-26,3,33260,1
2006-09-26,4,81,3
2006-09-26,4,92,2
2006-09-26,4,104,1
2006-09-26,4,559,199
2006-09-26,4,701,2
2006-09-26,4,766,6
2006-09-26,4,1103,13
2006-09-26,4,1239,1
2006-09-26,4,2110,12
2006-09-26,4,2152,20
2006-09-26,4,2715,191
2006-09-26,4,2852,8
2006-09-26,4,2854,4
