date,origin,destination,count
2006-08-24,1,73,4
2006-08-24,1,1103,2
2006-08-24,1,1659,1
2006-08-24,1,1741,2
2006-08-24,1,2108,1660
2006-08-24,1,2852,4
2006-08-24,1,3307,2044
2006-08-24,1,3561,10
2006-08-24,1,3786,1
2006-08-24,1,4134,1
2006-08-24,1,4323,1
2006-08-24,1,4538,4
2006-08-24,1,4565,2
2006-08-24,1,4795,2
2006-08-24,1,4837,2
2006-08-24,1,6057,2
2006-08-24,1,6385,2
2006-08-24,1,6395,2
2006-08-24,1,6478,4
2006-08-24,1,6746,34
2006-08-24,1,7132,2
2006-08-24,1,8167,2
2006-08-24,1,9908,1
2006-08-24,1,11456,3
2006-08-24,1,14778,2
2006-08-24,1,15169,2
2006-08-24,1,17200,4
2006-08-24,1,17813,2
2006-08-24,1,21844,1
2006-08-24,1,33438,1663
2006-08-24,1,37945,1
2006-08-24,1,39632,15
2006-09-04,5,209,1
2006-09-04,5,2152,5
2006-09-04,5,2828,4
2006-09-04,5,3462,2
2006-09-04,5,3561,1
2006-09-04,5,4134,23
2006-09-04,5,4837,5
2006-09-04,5,6356,2
2006-09-04,5,7482,1
2006-09-04,5,8070,4
2006-09-04,5,8075,7
2006-09-04,5,9371,1
2006-09-04,5,13768,3
2006-09-04,5,13867,2
2006-09-18,4,137,35
2006-09-18,4,209,1
2006-09-18,4,1239,221
2006-09-18,4,3265,548
2006-09-18,4,3671,784234
2006-09-18,4,4323,1
2006-09-18,4,6405,3
2006-09-18,4,6517,1
2006-09-18,4,6746,3
2006-09-18,4,7132,10
2006-09-18,4,8708,53
2006-09-18,4,9498,2
2006-09-18,4,9829,53
2006-09-18,4,16339,1
2006-09-18,4,19548,1
2006-09-18,4,22196,10
2006-09-18,4,31976,120
2006-09-26,3,3462,2
2006-09-26,3,4134,2
2006-09-26,3,4323,1
2006-09-26,3,8151,2
2006-09-26,3,9584,1
2006-09-26,3,9916,205
2006-09-26,3,11279,2
2006-09-26,3,15169,3
2006-09-26,3,17464,19
2006-09-26,3,17716,2
2006-09-26,3,18566,5
2006-09-26,3,19742,1
2006-09-26,3,24679,1
2006-09-26,3,27257,1
2006-09-26,3,29096,3
2006-09-26,3,33260,1
2006-09-26,6,3462,2
2006-09-26,6,4134,2
2006-09-26,6,4323,1
2006-09-26,6,8434,1
2006-09-26,6,9916,79
2006-09-26,6,11279,2
2006-09-26,6,15169,2
2006-09-26,6,17464,16
2006-09-26,6,18566,6
2006-09-26,6,19742,1
2006-09-26,6,24679,2
2006-09-26,6,29096,5
2006-09-26,6,33260,2
