origin,destination,count
0,4,1
0,8,4
0,27,1
0,46,1
0,52,1
0,81,2
0,91,307
0,137,3
0,156,42
0,205,2
0,209,78
0,225,850
0,226,1
0,553,4
0,558,4
0,577,1
0,600,2
0,680,1
0,684,1303
0,701,550
0,702,8
0,714,7
0,766,1
0,786,2
0,812,1
0,852,1
0,1103,1
0,1133,2
0,1213,1
0,1221,3
0,1239,2120
0,1257,3
0,1267,1
0,1273,1
0,1659,615
0,1668,1
0,1680,5
0,1698,2
0,1781,1
0,1785,9
0,1790,2
0,1897,3
0,1901,80
0,1916,1
0,1930,1
0,1955,30
0,1967,1
0,2116,1
0,2119,1
0,2140,2
0,2152,23
0,2379,6
0,2497,1
0,2501,1
0,2514,1448
0,2518,7
0,2519,1
0,2607,1
0,2614,7
0,2697,550
0,2706,2
0,2711,3
0,2764,3
0,2819,9
0,2828,237
0,2854,1
0,2856,22
0,2907,23
0,2914,82
0,2939,1
0,3064,2
0,3112,1
0,3209,34
0,3215,29
0,3216,4
0,3240,1
0,3243,3
0,3246,1
0,3249,12
0,3257,2
0,3262,2
0,3265,1
0,3267,1280
0,3269,86
0,3292,1
0,3320,546
0,3340,2
0,3352,17
0,3356,195
0,3462,2827
0,3491,1
0,3495,7
0,3549,13
0,3561,2698
0,3591,1
0,3595,24
0,3671,1009
0,3680,2
0,3737,1
0,3741,5
0,3758,1
0,3786,17
0,3790,1
0,3909,1
0,4134,278
0,4230,494
0,4279,8
0,4323,18
0,4355,3
0,4385,2
0,4513,103
0,4515,8
0,4538,18
0,4544,18
0,4589,6
0,4609,1
0,4618,6
0,4621,1
0,4665,4
0,4670,11
0,4686,1
0,4713,53
0,4723,1
0,4725,953
0,4732,1
0,4739,10
0,4747,1
0,4750,2
0,4755,105
0,4765,4
0,4766,2775
0,4771,1
0,4775,1
0,4780,25
0,4788,8
0,4795,1
0,4808,8
0,4812,316
0,4814,13
0,4837,1615
0,4847,2
0,4977,3
0,4983,1
0,5006,1
0,5033,1
0,5087,1
0,5089,17
0,5377,1
0,5384,4
0,5390,2
0,5396,13
0,5410,3
0,5413,8
0,5430,3
0,5432,2
0,5462,16
0,5466,11
0,5483,2
0,5486,2
0,5552,1
0,5561,2
0,5603,1
0,5610,4
0,5615,1
0,5617,1878
0,5645,1
0,5650,2
0,5668,1
0,5713,8
0,5731,1
0,5739,5
0,5760,1
0,5778,4
0,6057,5
0,6122,1
0,6128,3
0,6140,37
0,6147,23
0,6197,4
0,6198,3
0,6221,1
0,6261,1
0,6327,15
0,6332,3
0,6342,36
0,6348,1
0,6350,1
0,6354,1
0,6381,1
0,6385,2
0,6386,2
0,6388,1
0,6395,5
0,6400,25
0,6428,1
0,6432,89
0,6453,1
0,6461,43
0,6467,39
0,6471,1
0,6478,4073
0,6496,2
0,6503,4
0,6517,96
0,6539,2
0,6568,7
0,6580,1
0,6619,1
0,6621,1
0,6648,1
0,6678,2
0,6700,1
0,6702,1
0,6713,18
0,6724,79
0,6728,1
0,6730,1
