origin,destination,count
0,701,1
0,714,1
0,1239,1
0,1680,1
0,2514,1
0,3320,1
0,3561,13
0,4134,3
0,5617,2
0,6478,1
0,6713,1
0,7132,1
0,9105,1
0,10738,1
0,10994,1
0,12334,1
0,12524,1
0,12542,1
0,13343,1
0,13446,1
0,13462,20
0,13867,1
0,13989,1
0,14501,37
0,16755,1
0,17228,1
0,19262,1
0,19444,1
0,20258,1
0,20299,1
0,20685,1
0,21003,1
0,24915,2
0,29571,1
0,32636,1
1,680,1
1,1239,6
1,2828,2
1,3265,519
1,4134,9
1,4804,1
1,4808,3
1,6713,7
1,6830,1
1,8282,21
1,9768,1
1,11908,5
1,12859,52
1,14501,3
1,14777,4
1,14778,2
1,15557,1
1,19548,1
1,24915,1
2,1312,218
2,3561,8
2,3659,1
2,4323,8
2,5617,3
2,5661,6
2,7018,933
2,7132,3
2,7377,198
2,14501,62
2,19918,50
2,29863,4
2,33260,8
2,33650,174
2,36114,1
3,1239,1
3,2152,1
3,4134,1
3,4808,7
3,11908,6
3,14501,2
3,15290,1
3,17429,1
3,24915,2
4,1239,5
4,1668,1
4,3356,21
4,3561,10
4,4323,1
4,8282,21
4,11908,1
4,14501,34
4,14778,6
4,24915,1
4,31976,83
5,2152,3
5,3561,3
5,4134,1
5,4808,7
5,8070,6
5,8075,4
5,11908,6
5,13867,2
5,14366,8
5,14501,1
5,15290,2
5,24915,1
6,1239,2
6,4134,14
6,4808,8
6,4837,6
6,10565,11
6,11908,13
6,12968,1
6,14501,2
6,15290,4
6,17429,1
6,19548,1
7,109,7
7,2152,46
7,3356,55
7,3491,3
7,3561,35
7,3582,10
7,4513,6
7,6432,10
7,7805,2
7,7859,2
7,8070,5
7,9156,2
7,10565,2
7,10763,5
7,12222,2
7,15169,32
7,15290,2
7,15830,19
7,16759,4
7,17210,7
7,18924,48
7,19306,15
7,21844,26
7,22277,5
7,22822,2
7,25969,6
7,26085,5
7,26101,15
7,26229,16
7,29720,8
7,32934,7
7,33419,2
8,25,4
8,26,3
8,109,7
8,209,4
8,557,10
8,786,6
8,1103,1
8,1653,5
8,1668,4
8,2152,21
8,2386,7
8,2834,23
8,3356,5
8,3561,5
8,3701,4
8,3999,1
8,4266,4
8,5653,16
8,5662,13
8,6140,4
8,6453,4
8,6939,4
8,7805,1
8,8001,4
8,8070,6
8,8075,7
8,8468,6
8,10913,4
8,12552,4
8,13890,4
8,15169,228
8,15290,1
8,17374,5
8,21844,1
8,22205,4
8,22822,8
8,22982,4
8,27357,2
8,33554,4
9,102,43
9,209,6
9,559,1
9,701,8
9,1239,17
9,2152,193
9,2911,71
9,3356,34
9,3561,13
9,4267,2
9,5779,104
9,6432,5
9,6453,7
9,7224,5
9,7743,32
9,8070,6
9,8075,2
9,8912,5
9,10565,1
9,10763,6
9,10794,7
9,11266,59
9,11486,15
9,11499,6
9,12182,9
9,12217,12
9,12222,7
9,14779,79
9,14780,328
9,15169,40
9,16509,15
9,17110,8
9,22758,4
9,26101,89
9,30217,6
9,33419,1
9,36088,217
0,209,1
0,701,1
0,766,1
0,2514,1
0,2711,1
0,2819,1
0,2856,1
0,3269,8
0,3320,1
0,3561,14
0,4766,1
0,5462,1
0,9038,1
0,9708,1
0,10139,1
0,11351,2
0,12322,1
0,12542,1
0,12946,1
0,13462,16
0,13749,849
0,15802,1
0,17506,2
0,17858,1
0,19262,1
0,20401,1
0,22909,1
0,24093,2
0,26085,1
0,26101,1
0,28573,1
0,33651,1
0,33657,1
0,35916,1
1,766,1
1,2852,2
1,2856,6
1,3265,1611
1,3269,50
1,3354,2
1,3549,1
1,3561,8
1,4134,2
1,4323,1
1,4766,1
1,4808,9
1,4812,1
1,4837,3
1,5432,1
1,6478,2
1,7132,1
1,11351,1
1,11427,2
1,11908,1
1,12302,53
1,12322,1
1,13571,2
1,13749,849
1,13767,4
1,14777,7
1,14778,16
1,15169,10
1,16852,2
1,17184,3
1,19548,2
1,19945,1
1,22773,1
1,32244,1
1,33287,1
1,33653,1
1,36727,1
2,174,1
2,766,1
2,1312,92
2,2637,1
2,2915,38
2,3557,1
2,3561,7
2,4323,16
2,7018,936
2,7132,4
2,7377,83
2,12513,3
2,13749,849
2,29863,4
3,766,2
3,3269,5
3,3354,2
3,3593,2
3,4134,4
3,4808,8
3,4837,1
3,13582,1
3,13749,1
3,17184,4
4,766,1
4,3269,29
4,4323,1
4,13749,390
4,14778,4
4,29895,413
4,31976,85
4,33651,18
5,209,1
5,766,1
5,2152,2
5,3269,5
5,3356,1
5,3593,1
5,4134,10
5,4808,7
5,4837,2
5,8070,5
5,8075,5
5,10139,7
5,11351,2
5,13749,1
5,13867,2
5,14366,4
5,17184,2
5,17429,2
6,766,1
6,3269,5
6,3354,2
6,4134,5
6,4808,8
6,4812,1
6,4837,2
6,13749,1
6,17184,2
7,109,7
7,2152,6
7,3561,1
7,8070,2
7,8075,2
7,17184,2
7,18924,48
8,109,7
8,3356,1
8,3701,4
8,8075,2
8,13749,570
8,15169,105
9,7132,2
9,8070,3
0,52,1
0,209,1
0,701,7
0,2856,1
0,3269,9
0,3462,1
0,3561,28
0,3790,1
0,4134,1
0,4323,1
0,4513,101
0,4766,3
0,4837,1
0,5384,1
0,5486,1
0,6147,1
0,6432,1
0,6724,1
0,7029,1
0,8151,1
0,8167,1
0,9121,2
0,9394,1
0,9811,1
0,12270,1
0,12970,1
0,13462,17
0,13867,1
0,16338,1
0,18229,1
0,19115,1
0,19864,48
0,26085,3
0,26101,2
0,31976,1
0,33650,1
0,33651,1
0,36727,2
1,3,5
1,209,1
1,680,2
1,2711,1
1,3265,1564
1,3269,30
1,3320,1074
1,3462,1
1,3561,1
1,4134,7
1,4230,1
1,4513,101
1,4766,3
1,5617,1
1,5668,2
1,6388,1
1,6461,6
1,6478,1
1,7015,1
1,7132,5
1,7303,1
1,7718,1
1,9271,2
1,9394,1
