iata_to,state_id,state_name,latitude,longitude
0,NY,New York,40.6943,-73.9249
1,CA,California,34.1141,-118.4068
2,IL,Illinois,41.8375,-87.6866
3,FL,Florida,25.7840,-80.2101
4,TX,Texas,29.7860,-95.3885
5,TX,Texas,32.7935,-96.7667
6,PA,Pennsylvania,40.0077,-75.1339
7,GA,Georgia,33.7628,-84.4220
8,DC,District of Columbia,38.9047,-77.0163
9,MA,Massachusetts,42.3188,-71.0852
10,AZ,Arizona,33.5722,-112.0892
11,MI,Michigan,42.3834,-83.1024
12,WA,Washington,47.6211,-122.3244
13,CA,California,37.7558,-122.4449
14,CA,California,32.8313,-117.1222
15,MN,Minnesota,44.9635,-93.2678
16,FL,Florida,27.9945,-82.4447
17,NY,New York,40.6501,-73.9496
18,CO,Colorado,39.7620,-104.8758
19,NY,New York,40.7498,-73.7976
20,CA,California,33.9381,-117.3949
21,NV,Nevada,36.2333,-115.2654
22,MD,Maryland,39.3051,-76.6144
23,MO,Missouri,38.6359,-90.2451
24,OR,Oregon,45.5371,-122.6500
25,TX,Texas,29.4632,-98.5238
26,CA,California,38.5677,-121.4685
27,TX,Texas,30.3005,-97.7522
28,FL,Florida,28.4773,-81.3370
29,PR,Puerto Rico,18.3985,-66.0610
30,CA,California,37.3012,-121.8480
31,PA,Pennsylvania,40.4397,-79.9763
32,IN,Indiana,39.7771,-86.1458
33,NY,New York,40.7834,-73.9662
34,OH,Ohio,39.1413,-84.5060
35,MO,Missouri,39.1238,-94.5541
36,OH,Ohio,41.4764,-81.6805
37,OH,Ohio,39.9862,-82.9855
38,NY,New York,40.8501,-73.8662
39,VA,Virginia,36.7335,-76.0435
40,NC,North Carolina,35.2083,-80.8303
41,WI,Wisconsin,43.0642,-87.9675
42,RI,Rhode Island,41.8230,-71.4187
43,FL,Florida,30.3322,-81.6749
44,TN,Tennessee,36.1715,-86.7842
45,UT,Utah,40.7776,-111.9311
46,NC,North Carolina,35.8324,-78.6429
47,VA,Virginia,37.5295,-77.4756
48,TN,Tennessee,35.1087,-89.9663
49,OK,Oklahoma,35.4676,-97.5136
50,CT,Connecticut,41.7661,-72.6834
51,KY,Kentucky,38.1663,-85.6485
52,NY,New York,42.9018,-78.8487
53,LA,Louisiana,30.0687,-89.9288
54,TX,Texas,32.7817,-97.3474
55,CT,Connecticut,41.1918,-73.1954
56,AZ,Arizona,32.1541,-110.8787
57,TX,Texas,31.8476,-106.4300
58,NE,Nebraska,41.2627,-96.0529
59,TX,Texas,26.2252,-98.2467
60,AL,Alabama,33.5279,-86.7971
61,NM,New Mexico,35.1054,-106.6465
62,OK,Oklahoma,36.1283,-95.9042
63,CA,California,36.7830,-119.7939
64,SC,South Carolina,32.8168,-79.9687
65,NY,New York,43.1680,-77.6162
66,OH,Ohio,39.7805,-84.2003
67,FL,Florida,26.6443,-81.9957
68,CA,California,33.6096,-117.6551
69,CO,Colorado,38.8674,-104.7605
70,LA,Louisiana,30.4420,-91.1311
71,PA,Pennsylvania,40.5961,-75.4756
72,UT,Utah,41.2279,-111.9682
73,UT,Utah,40.2457,-111.6457
74,TN,Tennessee,35.9692,-83.9496
75,MI,Michigan,42.9619,-85.6562
76,SC,South Carolina,34.0378,-80.9036
77,NY,New York,42.6664,-73.7987
78,CA,California,35.3529,-119.0359
79,CT,Connecticut,41.3113,-72.9246
80,IA,Iowa,41.5725,-93.6105
81,OH,Ohio,41.0798,-81.5219
82,FL,Florida,27.9631,-80.6593
83,CA,California,37.9722,-122.0016
84,KS,Kansas,37.6895,-97.3443
85,AZ,Arizona,33.4015,-111.7178
86,PA,Pennsylvania,40.2752,-76.8843
87,NY,New York,40.5834,-74.1496
88,OH,Ohio,41.6638,-83.5827
89,MA,Massachusetts,42.2705,-71.8079
90,CA,California,33.7977,-118.1670
91,FL,Florida,27.2796,-80.3884
92,AR,Arkansas,34.7256,-92.3577
93,NV,Nevada,39.5497,-119.8483
94,WA,Washington,47.6671,-117.4330
95,WI,Wisconsin,43.0822,-89.3930
96,ID,Idaho,43.6005,-116.2308
97,FL,Florida,26.3558,-81.7859
98,TX,Texas,33.2175,-97.1418
99,CA,California,37.7904,-122.2166
100,MA,Massachusetts,42.1155,-72.5395
101,GA,Georgia,33.3645,-82.0708
102,FL,Florida,28.3041,-81.4169
103,NC,North Carolina,36.1029,-80.2610
104,CA,California,37.9765,-121.3109
105,NY,New York,43.0407,-76.1437
106,TN,Tennessee,35.0660,-85.2481
107,PA,Pennsylvania,40.0420,-76.3012
108,SC,South Carolina,34.8354,-82.3646
109,NC,North Carolina,35.9792,-78.9022
110,FL,Florida,30.4413,-87.1911
111,AR,Arkansas,36.0714,-94.1661
112,TX,Texas,32.6998,-97.1250
113,CO,Colorado,39.7083,-104.7237
114,CA,California,34.1964,-119.1815
115,CA,California,33.7346,-116.2346
116,PA,Pennsylvania,41.4044,-75.6649
117,CA,California,34.5277,-117.3536
118,NJ,New Jersey,40.2237,-74.7641
119,CA,California,37.6375,-121.0028
120,AL,Alabama,34.6981,-86.6412
121,HI,Hawaii,21.3294,-157.8460
122,NC,North Carolina,36.0956,-79.8271
123,CA,California,33.8390,-117.8574
124,TX,Texas,27.7254,-97.3767
125,IN,Indiana,41.0888,-85.1436
126,CO,Colorado,40.5477,-105.0656
127,MS,Mississippi,32.3157,-90.2125
128,SC,South Carolina,33.7094,-78.8844
129,NC,North Carolina,35.0850,-78.9772
130,CA,California,37.9787,-121.7960
131,MI,Michigan,42.7142,-84.5601
132,KY,Kentucky,38.0423,-84.4587
133,AL,Alabama,30.6782,-88.1162
134,OH,Ohio,41.0993,-80.6463
135,NV,Nevada,36.0133,-115.0381
136,GA,Georgia,32.0286,-81.1821
137,NY,New York,41.6950,-73.9211
138,CA,California,33.7367,-117.8819
139,MI,Michigan,42.2759,-83.7310
140,MN,Minnesota,44.9478,-93.1039
141,NJ,New Jersey,40.7245,-74.1725
142,CA,California,33.6772,-117.7738
143,CA,California,38.4458,-122.7067
144,OH,Ohio,40.8078,-81.3676
145,NC,North Carolina,35.5707,-82.5537
146,MI,Michigan,43.0236,-83.6921
147,FL,Florida,28.0118,-81.7014
148,AK,Alaska,61.1508,-149.1091
149,NE,Nebraska,40.8099,-96.6784
150,NC,North Carolina,35.3933,-80.6369
151,NJ,New Jersey,40.7184,-74.0686
152,MO,Missouri,37.1943,-93.2916
153,TX,Texas,33.0502,-96.7486
154,LA,Louisiana,32.4653,-93.7955
155,IA,Iowa,41.5565,-90.6053
156,TX,Texas,33.5657,-101.8879
